 16%|█████████████████████████▊                                                                                                                                        | 319/2000 [11:29<59:53,  2.14s/it]
Epoch 1090, Loss: 21.3672, Recon Loss: 10.3106, KLD Loss: 11.0566, Val Loss: 28.3688
Epoch 1100, Loss: 20.8731, Recon Loss: 9.4776, KLD Loss: 11.3955, Val Loss: 27.9187
Epoch 1110, Loss: 20.7045, Recon Loss: 9.3524, KLD Loss: 11.3521, Val Loss: 28.6136
Epoch 1120, Loss: 20.2408, Recon Loss: 9.3423, KLD Loss: 10.8985, Val Loss: 28.8122
Epoch 1130, Loss: 20.8177, Recon Loss: 9.8211, KLD Loss: 10.9966, Val Loss: 29.0222
Epoch 1140, Loss: 20.7243, Recon Loss: 9.7940, KLD Loss: 10.9303, Val Loss: 27.1331
Epoch 1150, Loss: 20.9387, Recon Loss: 10.1786, KLD Loss: 10.7600, Val Loss: 28.4655
Epoch 1160, Loss: 19.8596, Recon Loss: 8.7205, KLD Loss: 11.1390, Val Loss: 28.5300
Epoch 1170, Loss: 19.7052, Recon Loss: 8.7316, KLD Loss: 10.9736, Val Loss: 27.0331
Epoch 1180, Loss: 20.0276, Recon Loss: 9.1387, KLD Loss: 10.8888, Val Loss: 27.9710
Epoch 1190, Loss: 20.2482, Recon Loss: 9.1880, KLD Loss: 11.0602, Val Loss: 27.7161
Epoch 1200, Loss: 21.3306, Recon Loss: 10.0532, KLD Loss: 11.2774, Val Loss: 27.6776
Epoch 1210, Loss: 20.2720, Recon Loss: 9.5132, KLD Loss: 10.7589, Val Loss: 28.8263
Epoch 1220, Loss: 20.6258, Recon Loss: 9.8215, KLD Loss: 10.8043, Val Loss: 26.8490
Epoch 1230, Loss: 24.8460, Recon Loss: 13.9781, KLD Loss: 10.8678, Val Loss: 39.2369
Epoch 1240, Loss: 20.1851, Recon Loss: 9.3082, KLD Loss: 10.8769, Val Loss: 27.8153
Epoch 1250, Loss: 20.1824, Recon Loss: 9.2111, KLD Loss: 10.9713, Val Loss: 27.1619
Epoch 1260, Loss: 22.9865, Recon Loss: 12.2949, KLD Loss: 10.6916, Val Loss: 33.7749
