 16%|████████████████████████▊                                                                                                                                       | 310/2000 [46:01<4:08:12,  8.81s/it]
Epoch 1281, Loss: 0.8795815172948336, MSE Loss: 0.8795803001052455, KLD Loss: 1.2203266746119449e-06
Epoch 1291, Loss: 0.8789161255485133, MSE Loss: 0.8789147703271163, KLD Loss: 1.3630641134161698e-06
Epoch 1301, Loss: 0.8785863675569233, MSE Loss: 0.8785850154726129, KLD Loss: 1.3536528537147923e-06
Epoch 1311, Loss: 0.879664609306737, MSE Loss: 0.8796632070290414, KLD Loss: 1.4022776955052426e-06
Epoch 1321, Loss: 0.8796699988214594, MSE Loss: 0.8796685965437638, KLD Loss: 1.3991406089381167e-06
Epoch 1331, Loss: 0.8790022950423392, MSE Loss: 0.8790010747156645, KLD Loss: 1.2218952178955078e-06
Epoch 1341, Loss: 0.8796563305352864, MSE Loss: 0.8796550945231789, KLD Loss: 1.2407177372982626e-06
Epoch 1351, Loss: 0.8792435275880914, MSE Loss: 0.8792423668660616, KLD Loss: 1.1607220298365542e-06
Epoch 1361, Loss: 0.8792748545345507, MSE Loss: 0.8792736028370104, KLD Loss: 1.2564031701338918e-06
Epoch 1371, Loss: 0.879115242707102, MSE Loss: 0.8791139251307437, KLD Loss: 1.3191449014764083e-06
Epoch 1381, Loss: 0.8792457768791601, MSE Loss: 0.8792443808756376, KLD Loss: 1.4007091522216797e-06
Epoch 1391, Loss: 0.879290941514467, MSE Loss: 0.8792895737447237, KLD Loss: 1.3662011999832957e-06
Epoch 1401, Loss: 0.8807185574581748, MSE Loss: 0.8807172241963839, KLD Loss: 1.341104507446289e-06
Epoch 1411, Loss: 0.8789289719180057, MSE Loss: 0.8789275915999162, KLD Loss: 1.380318089535362e-06
Epoch 1421, Loss: 0.87944243456188, MSE Loss: 0.8794410981630024, KLD Loss: 1.3301247044613486e-06
Epoch 1431, Loss: 0.8794091751700953, MSE Loss: 0.8794078011261789, KLD Loss: 1.3818866328189249e-06
Epoch 1441, Loss: 0.8804266044968053, MSE Loss: 0.8804252273158023, KLD Loss: 1.3693382865504214e-06
Epoch 1451, Loss: 0.8795052798170793, MSE Loss: 0.8795038587168643, KLD Loss: 1.4242373014751234e-06
Epoch 1461, Loss: 0.8789831211692408, MSE Loss: 0.8789818412379214, KLD Loss: 1.2846369492380243e-06
Epoch 1471, Loss: 0.8797970602386876, MSE Loss: 0.8797956548239055, KLD Loss: 1.4022776955052426e-06
Epoch 1481, Loss: 0.8794865106281481, MSE Loss: 0.8794852401080885, KLD Loss: 1.2673829731188323e-06
Epoch 1491, Loss: 0.8782966513382761, MSE Loss: 0.8782951894559359, KLD Loss: 1.4634508835641962e-06
Epoch 1501, Loss: 0.8796786665916443, MSE Loss: 0.8796774525391428, KLD Loss: 1.2203266746119449e-06
Epoch 1511, Loss: 0.8791825175285339, MSE Loss: 0.8791811748554832, KLD Loss: 1.341104507446289e-06
