Physics,Sections,CFG,mse,var_diff
nophys,sec18plus7,4,tensor(49166.7266),9.593142541503912
nophys,secincr20,1,tensor(54448.1641),8.531965313720704
nophys,sec25,1,tensor(52354.2344),4.2557467742919926
nophys,sec18plus7,3,tensor(51344.0039),6.465168823242184
nophys,sec15,8,tensor(56055.4219),25.833745617675763
nophys,sec15,6,tensor(54315.2695),18.26124521789551
nophys,secincr20,3,tensor(47583.4336),0.7341312500000008
nophys,sec9plus6,8,tensor(52412.4727),35.218564108276354
nophys,sec15,7,tensor(55573.6836),22.496615765380856
nophys,sec20,8,tensor(60675.5625),25.024608489990232
nophys,sec18plus7,7,tensor(49128.8203),19.806380764770505
nophys,sec25,7,tensor(48251.7305),35.67188646850586
nophys,sec25,3,tensor(47724.6133),8.386606835937503
nophys,sec15,5,tensor(54033.7539),5.650356353759758
nophys,sec20,1,tensor(52972.5938),4.122295968627935
nophys,sec9plus6,1,tensor(52810.4023),5.913075564575202
nophys,sec25,6,tensor(46016.2969),35.110633795165995
nophys,sec20,3,tensor(57005.6953),9.249886816406235
nophys,sec18plus7,8,tensor(49926.7617),35.686475149536136
nophys,secincr20,5,tensor(45369.7266),20.627712429809566
nophys,sec20,7,tensor(60115.4297),24.65912806091309
nophys,sec25,4,tensor(50985.7734),26.29872184753417
nophys,secincr20,8,tensor(43943.8398),40.42715974121094
nophys,sec9plus6,7,tensor(52775.6250),26.38237197570801
nophys,sec9plus6,4,tensor(51812.8164),3.864967678833001
nophys,sec25,5,tensor(49971.2695),18.11140863342285
nophys,sec15,2,tensor(54309.6250),12.928142089843751
nophys,sec18plus7,2,tensor(53619.8594),10.619806549072273
nophys,secincr20,6,tensor(43831.1172),31.514457168579096
nophys,secincr20,2,tensor(49093.0312),3.641077731323243
nophys,sec9plus6,6,tensor(51586.3867),15.626987423706051
nophys,sec15,1,tensor(52419.0859),5.519812377929689
nophys,sec20,2,tensor(56348.2109),14.09706002502442
nophys,sec15,3,tensor(52503.8594),0.0358369323730407
nophys,sec18plus7,1,tensor(53354.5000),7.1598178649902415
nophys,sec18plus7,6,tensor(48593.7148),19.83549017333984
nophys,sec9plus6,3,tensor(2840.2852),37.47471697456585
nophys,sec25,2,tensor(4280.8467),60.34475705465738
nophys,sec9plus6,2,tensor(3323.7285),51.58257820227898
nophys,sec20,5,tensor(679.7839),26.73905374764502
nophys,sec9plus6,5,tensor(504.2472),32.45998020640814
nophys,secincr20,7,tensor(7057.0303),81.14791852958199
nophys,sec20,6,tensor(443.7137),21.796173527855423
nophys,sec15,4,tensor(4716.5732),48.10825871885046
nophys,sec18plus7,5,tensor(815.2148),30.90352164462724
nophys,sec25,8,tensor(5723.5571),70.61511417311064
nophys,secincr20,4,tensor(12663.0674),72.30895830223533
nophys,sec20,4,tensor(1787.2651),37.952321609821176
nophys,sec18plus7,4,tensor(1514.6592),32.6343834689139
nophys,secincr20,1,tensor(3903.9102),55.470208374175954
nophys,sec25,1,tensor(2635.6982),43.55970634514468
nophys,sec18plus7,3,tensor(2260.3452),51.79785841338487
nophys,sec15,8,tensor(3539.4468),49.53384840463608
