Physics,Sections,CFG,mse,var_diff
nophys,secincr20,4,tensor(121607.8203),385.5055154056506
phys,sec20,4,tensor(71534.0781),259.34265881601107
phys,sec15,2,tensor(69399.7109),302.2204450793277
phys,sec9plus6,4,tensor(264034.5938),350.0192528549506
phys,sec25,4,tensor(61356.5586),301.89808390416255
phys,secincr20,6,tensor(12423.7832),437.2695552043093
phys,sec15,3,tensor(42989.1562),320.1564616183846
nophys,sec20,4,tensor(20982.1309),143.21923664962355
nophys,sec18plus7,4,tensor(143142.5938),251.70338758049095
nophys,secincr20,1,tensor(2079.8491),83.81896150787942
phys,sec25,2,tensor(70177.4062),209.37615389618472
phys,sec18plus7,2,tensor(92704.6797),352.71692993094865
nophys,sec25,1,tensor(4961.3242),61.38261591766427
nophys,sec18plus7,3,tensor(76699.9375),206.12329859744392
phys,sec18plus7,7,tensor(519699.2500),200.46867964219072
nophys,sec15,8,tensor(383307.4688),360.1536080777781
nophys,sec15,6,tensor(218410.7656),248.39202687313227
phys,sec15,1,tensor(19660.0547),215.4721450513723
phys,sec9plus6,2,tensor(118366.1953),371.4532623658646
phys,sec18plus7,1,tensor(15414.9365),268.66964725680367
nophys,secincr20,3,tensor(9190.3848),254.72218027569002
nophys,sec9plus6,8,tensor(506648.2500),138.5981167168304
phys,secincr20,4,tensor(37844.0312),352.31019723874914
phys,sec9plus6,5,tensor(318370.3750),387.73326197665295
nophys,sec15,7,tensor(361578.2188),336.8990067505783
nophys,sec20,8,tensor(227688.3281),298.61872659410756
phys,sec20,8,tensor(89619.5078),294.1880440830914
phys,sec20,2,tensor(26993.5020),188.15575855605456
nophys,sec18plus7,7,tensor(88804.6641),321.64565487405343
nophys,sec25,7,tensor(68105.3906),415.5666803513525
phys,sec15,5,tensor(155002.2656),358.90718285783356
phys,secincr20,7,tensor(40801.2578),562.9964593370485
phys,sec15,6,tensor(70491.5859),413.52346667248656
nophys,sec25,3,tensor(2563.9675),187.15190911347094
nophys,sec15,5,tensor(103451.2188),222.3552332313693
phys,sec20,7,tensor(14337.6221),303.119316883909
phys,sec9plus6,8,tensor(490485.6250),218.92313757829382
nophys,sec20,1,tensor(14770.8828),39.88975359469044
phys,secincr20,3,tensor(64563.0234),345.1302734772905
nophys,sec9plus6,1,tensor(7802.8330),95.5319523054456
phys,sec15,4,tensor(87338.8438),423.4749432745434
nophys,sec25,6,tensor(115471.7734),352.196379595603
nophys,sec20,3,tensor(5315.5337),138.98148239334694
phys,sec15,8,tensor(106401.4531),418.06227133333556
phys,secincr20,2,tensor(49817.7852),292.933305294876
phys,secincr20,1,tensor(1744.4849),272.85344782762246
nophys,sec18plus7,8,tensor(201904.7344),400.1826310687595
nophys,secincr20,5,tensor(39903.2852),496.16421433533134
nophys,sec20,7,tensor(95038.5703),258.389833296778
phys,sec25,1,tensor(4124.6582),249.8367670960978
