Model Type,Noise Steps,Sections,CFG,MSE,MSE_Norm,Var_Diff
phys10th,700,25,5,314269.64400024415,0.0004712210749858059,37.17074432029107
nophys,1000,18+7,3,27002.66845703125,0.0004873452702668146,56.27594446076107
nophys,1000,45,1,10983.691772460938,6.590157172468026e-05,49.69124654898182
nophys,700,45,1,15181.241510009766,0.0001286758847072633,78.83017748632267
nophys,1000,9+6,1,5646.465142822266,3.6945954252587396e-05,42.421409036500314
phys10thbeam,1000,9+6,5,107097.17125434875,0.0006612942822357582,29.709652469005484
phys10thbeam,1000,45,3,9742.321850585937,0.00043677134744939393,51.12149419987112
phys10th,850,18+7,1,13476.180212402343,3.4164855833296315e-05,98.23334238002114
phys10thbeam,1000,9+6,3,35822.16848144531,0.0004566299444377364,32.988467130143576
phys10th,1000,25,3,35400.58511962891,0.00043114779728057326,49.04203084551161
phys10thbeam,700,25,3,73869.47193603516,0.00045149434736231343,19.379305376928784
phys10thbeam,850,45,6,42866.37120361328,0.0006162069777928992,84.0089235945948
nophys,850,15,7,165518.16981048585,0.0006865948824270162,107.16803119577574
nophys,850,18+7,6,225349.0833251953,0.00044078002729293076,37.275650798335064
phys10thbeam,700,45,7,130327.49265556336,0.0005606613476629718,9.352701308366406
phys10thbeam,700,9+6,7,253007.34331970214,0.000535724716473851,10.476678597510524
phys10thbeam,850,18+7,6,76900.15440673828,0.00043912302953685867,63.26262956610403
nophys,1000,25,3,23099.228173828124,0.00044864755573144067,90.40590578454307
nophys,850,45,5,86607.87420654297,0.00047043915637914326,81.23752539610703
phys10thbeam,700,45,3,44237.06701660156,0.00043620831265798186,43.72890425442569
phys10th,700,45,7,245286.6471420288,0.0005728784413804533,55.09008652725767
phys10th,850,45,1,11132.208056640626,3.349749458720907e-05,95.55762485025613
phys10th,850,18+7,7,96851.30670166016,0.00025869158143905225,208.28244181019045
phys10th,1000,9+6,6,65964.56182250977,0.0005342414779988758,20.954597746815743
nophys,1000,45,5,74901.72829036713,0.0004819780622710823,121.37721943476086
phys10th,1000,9+6,3,12522.522009277343,0.00043881917958970006,26.375547258081827
nophys,1000,45,3,18502.345129394533,0.0004542048423900269,65.65851195686363
nophys,850,15,1,8290.851141357422,3.7074590090924174e-05,71.22487377872542
phys10thbeam,700,18+7,1,9408.847205734253,2.9978942347952397e-05,63.96519610444851
nophys,850,9+6,6,222703.5806640625,0.00043202387723795255,44.55058902289943
nophys,1000,25,7,33826.06776332855,0.0006583723847143119,294.69643496488465
phys10thbeam,700,15,1,5547.772863769531,3.966805729760381e-05,64.40502269006849
phys10th,1000,45,5,109275.10248413085,0.0004490184700443933,36.502742485778754
phys10th,1000,45,7,198583.46801834105,0.0004834927734918892,35.123886720726276
phys10thbeam,1000,15,6,46038.202209472656,0.0006804965189076029,154.6686901308346
phys10th,700,45,3,110203.90134277343,0.0006545556783748907,70.31587604136327
