Unnamed: 0,Model Type,Noise Steps,Sections,CFG,FID,MSE,MSE_Norm,Var_Diff
149,phys_spec,850,45,7,114.72344385627206,59674.089167785634,0.000455574785883,152.00217398683944
150,phys_spec_beam,1000,15,1,109.7874587969423,9120.232861328124,0.0006452815026023,51.78445186608103
151,phys_spec_beam,1000,15,3,116.0561264429252,21399.02876586914,0.0004478821952943,47.76016563581575
152,phys_spec_beam,1000,15,5,118.75340247334616,50734.00439224243,0.0005713683326575,106.4525260516605
153,phys_spec_beam,1000,15,6,121.5354781520182,46038.202209472656,0.0006804965189076,154.6686901308346
154,phys_spec_beam,1000,15,7,118.15767276857572,53760.740029907225,0.0008583485829149,187.2424491537853
155,phys_spec_beam,1000,9+6,1,121.58954760501553,7849.793756103516,0.000181893337367,50.39705766428471
156,phys_spec_beam,1000,9+6,3,124.48602157945392,35822.16848144531,0.0004566299444377,32.988467130143576
157,phys_spec_beam,1000,9+6,5,129.51547132984624,107097.17125434877,0.0006612942822357,29.709652469005484
158,phys_spec_beam,1000,9+6,6,133.97508465323313,124579.66510925296,0.0010466007613104,22.03500399925358
159,phys_spec_beam,1000,9+6,7,138.1986067894675,132963.91973724365,0.0013249680591798,45.200768129665306
160,phys_spec_beam,1000,25,1,114.51618179883612,7544.409765625,3.700633592416125e-05,50.80498803239649
161,phys_spec_beam,1000,25,3,117.9519260176344,9097.12216796875,0.0004317664688642,61.99406191424293
162,phys_spec_beam,1000,25,5,122.92729190462148,22737.987634277342,0.0004553223321636,98.70322784924257
163,phys_spec_beam,1000,25,6,121.13008002560736,20879.75424194336,0.0005184197685593,178.00516254766472
164,phys_spec_beam,1000,25,7,123.12026383709048,19855.979942321774,0.0004979856637874,215.91796596500265
165,phys_spec_beam,1000,18+7,1,112.14013769758132,9649.654086303712,4.3951163343081126e-05,48.722187749757225
166,phys_spec_beam,1000,18+7,3,126.18405864883135,10875.7018157959,0.000585135519168,43.312298785037214
167,phys_spec_beam,1000,18+7,5,139.63187394460115,36730.78164672852,0.0011079530147071,32.633183758896486
168,phys_spec_beam,1000,18+7,6,145.80181726848562,61761.43415527344,0.0012804147100723,27.415616146494774
169,phys_spec_beam,1000,18+7,7,149.85395816190416,69838.2685409546,0.0017112006353272,21.867121674269324
170,phys_spec_beam,1000,45,1,112.14110416792832,9567.288885498048,3.24826274663792e-05,53.79788866475358
171,phys_spec_beam,1000,45,3,117.52707211746385,9742.321850585937,0.0004367713474493,51.12149419987112
172,phys_spec_beam,1000,45,5,118.3785470026972,60277.05897216798,0.0005019783894567,46.35120053123651
173,phys_spec_beam,1000,45,6,120.9510329017932,84884.75155639647,0.000597222683973,53.5428982137923
174,phys_spec_beam,1000,45,7,123.64971744977429,83185.81907653809,0.0006216252408194,41.72993727645349
175,phys_spec_beam,700,15,1,108.56796164798138,5547.772863769531,3.966805729760381e-05,64.40502269006849
176,phys_spec_beam,700,15,3,116.67863881204144,60537.85961608888,0.0004514342394031,38.1860178980006
177,phys_spec_beam,700,15,5,120.78280401902214,127138.18570861814,0.0004966380195128,17.531642006699954
178,phys_spec_beam,700,15,6,124.17339332903292,164827.78240203857,0.0005332604801878,9.413437556259348
179,phys_spec_beam,700,15,7,127.97047643704106,190251.98780670165,0.000675957583553,12.316734590880678
180,phys_spec_beam,700,9+6,1,120.68107779554458,16388.583587646484,3.2690533453205715e-05,64.97880082107103
181,phys_spec_beam,700,9+6,3,131.3247389712329,123389.15588378903,0.0004321843347497,28.18522167029346
182,phys_spec_beam,700,9+6,5,121.62387376148928,232164.0321899414,0.0004713098651336,10.82857613075294
183,phys_spec_beam,700,9+6,6,121.81222564324727,257745.1118789673,0.0005153881842488,9.142842686204066
184,phys_spec_beam,700,9+6,7,115.7971431567748,253007.3433197021,0.0005357247164738,10.476678597510524
185,phys_spec_beam,700,25,1,113.08128566242056,5396.396002197265,3.509996831780881e-05,59.47756523363539
186,phys_spec_beam,700,25,3,116.32086738760432,73869.47193603516,0.0004514943473623,19.379305376928784
187,phys_spec_beam,700,25,5,121.566783918331,178975.6385559082,0.0006052013346561,11.306627093186744
188,phys_spec_beam,700,25,6,124.15481262289644,181038.76865310676,0.0006591998469957,6.166655621390466
189,phys_spec_beam,700,25,7,125.19624244729312,186227.86462402344,0.0008063498986302,3.8844737275645063
190,phys_spec_beam,700,18+7,1,106.21421316351842,9408.847205734251,2.99789423479524e-05,63.96519610444851
191,phys_spec_beam,700,18+7,3,115.28314035962444,38610.29118652344,0.0004325736656028,34.31613317281576
192,phys_spec_beam,700,18+7,5,118.676173422465,92688.65742797853,0.0004574876369588,17.67980366330407
193,phys_spec_beam,700,18+7,6,122.98019574824932,102832.60466003418,0.0004957574028594,11.055368544478132
194,phys_spec_beam,700,18+7,7,120.64668288182732,115942.5094985962,0.0005341518681234,5.854114330009934
195,phys_spec_beam,700,45,1,113.6310216063353,7145.196639251709,3.216063564650539e-05,58.06196014801418
196,phys_spec_beam,700,45,3,109.92808454618496,44237.06701660156,0.0004362083126579,43.728904254425686
197,phys_spec_beam,700,45,5,112.27712270330667,149184.038079834,0.0004929583469674,19.648741139007
198,phys_spec_beam,700,45,6,114.93859857998544,164649.90980300904,0.0004951219470967,15.235236355742664
199,phys_spec_beam,700,45,7,116.13585354546488,130327.49265556336,0.0005606613476629,9.352701308366406
200,phys_spec_beam,850,15,1,107.48196714207998,11173.334846496582,3.7447892736963695e-05,58.3639194604004
201,phys_spec_beam,850,15,3,111.15495542589558,8264.55576171875,0.0004641261528377,94.03509835428912
202,phys_spec_beam,850,15,5,116.54311524496788,5624.955279541015,0.0004490166225878,140.5084770905098
203,phys_spec_beam,850,15,6,123.93442820697628,14965.658054351808,0.0004870022565228,145.99105659958232
204,phys_spec_beam,850,15,7,122.04399740710018,12232.301594543456,0.0004743334811792,160.8845145834767
